date,name,category,value
2019-07-25,The Lumineers,,9
2019-07-25,Kendrick Lamar,,7
2019-07-25,Kodaline,,3
2019-07-25,Bastille,,1
2019-07-25,George Ezra,,1
2019-07-25,Jason Mraz,,1
2019-07-25,Nothing But Thieves,,1
2019-07-25,Passenger,,1
2019-07-25,Ray LaMontagne,,1
2019-07-25,Tame Impala,,1
2019-07-26,The Lumineers,,9
2019-07-26,Kendrick Lamar,,7
2019-07-26,Kodaline,,3
2019-07-26,Bastille,,1
2019-07-26,George Ezra,,1
2019-07-26,Jason Mraz,,1
2019-07-26,Nothing But Thieves,,1
2019-07-26,Passenger,,1
2019-07-26,Ray LaMontagne,,1
2019-07-26,Tame Impala,,1
2019-07-27,The Strokes,,11
2019-07-27,The Lumineers,,9
2019-07-27,Kendrick Lamar,,7
2019-07-27,Kodaline,,3
2019-07-27,Bastille,,1
2019-07-27,George Ezra,,1
2019-07-27,Jason Mraz,,1
2019-07-27,Nothing But Thieves,,1
2019-07-27,Passenger,,1
2019-07-27,Ray LaMontagne,,1
2019-07-27,Tame Impala,,1
2019-07-28,The Strokes,,40
2019-07-28,Kendrick Lamar,,15
2019-07-28,The Lumineers,,9
2019-07-28,Kodaline,,3
2019-07-28,Franz Ferdinand,,2
2019-07-28,Pink Floyd,,2
2019-07-28,Tame Impala,,2
2019-07-28,Albert Hammond, Jr.,,1
2019-07-28,Arctic Monkeys,,1
2019-07-28,Bastille,,1
2019-07-28,George Ezra,,1
2019-07-28,Jason Mraz,,1
2019-07-28,Nothing But Thieves,,1
2019-07-28,Passenger,,1
2019-07-28,Pixies,,1
2019-07-28,Radiohead,,1
2019-07-28,Ray LaMontagne,,1
2019-07-29,The Strokes,,42
2019-07-29,Kendrick Lamar,,20
2019-07-29,The Rolling Stones,,10
2019-07-29,Nothing But Thieves,,9
2019-07-29,The Lumineers,,9
2019-07-29,Prateek Kuhad,,7
2019-07-29,Kodaline,,3
2019-07-29,Franz Ferdinand,,2
2019-07-29,Pink Floyd,,2
2019-07-29,Tame Impala,,2
2019-07-29,Albert Hammond, Jr.,,1
2019-07-29,Arctic Monkeys,,1
2019-07-29,Bastille,,1
2019-07-29,George Ezra,,1
2019-07-29,Jason Mraz,,1
2019-07-29,Passenger,,1
2019-07-29,Pixies,,1
2019-07-29,Radiohead,,1
2019-07-29,Ray LaMontagne,,1
2019-07-29,The Dø,,1
2019-07-30,The Strokes,,42
2019-07-30,Kendrick Lamar,,20
2019-07-30,The Rolling Stones,,10
2019-07-30,Nothing But Thieves,,9
2019-07-30,The Lumineers,,9
2019-07-30,Prateek Kuhad,,7
2019-07-30,Julian Casablancas,,4
2019-07-30,Kodaline,,3
2019-07-30,Franz Ferdinand,,2
2019-07-30,Pink Floyd,,2
2019-07-30,Tame Impala,,2
2019-07-30,Albert Hammond, Jr.,,1
2019-07-30,Arctic Monkeys,,1
2019-07-30,Bastille,,1
2019-07-30,George Ezra,,1
2019-07-30,Jason Mraz,,1
2019-07-30,Passenger,,1
2019-07-30,Pixies,,1
2019-07-30,Radiohead,,1
2019-07-30,Ray LaMontagne,,1
2019-07-30,The Dø,,1
2019-07-31,The Strokes,,42
2019-07-31,The Rolling Stones,,22
2019-07-31,Kendrick Lamar,,20
2019-07-31,Arctic Monkeys,,11
2019-07-31,Nothing But Thieves,,9
2019-07-31,The Lumineers,,9
2019-07-31,Prateek Kuhad,,7
2019-07-31,Julian Casablancas,,4
2019-07-31,Kodaline,,3
2019-07-31,Franz Ferdinand,,2
2019-07-31,Pink Floyd,,2
2019-07-31,Tame Impala,,2
2019-07-31,Albert Hammond, Jr.,,1
2019-07-31,Bastille,,1
2019-07-31,George Ezra,,1
2019-07-31,Jason Mraz,,1
2019-07-31,Passenger,,1
2019-07-31,Pixies,,1
2019-07-31,Radiohead,,1
2019-07-31,Ray LaMontagne,,1
2019-07-31,The Dø,,1
2019-08-01,The Strokes,,42
2019-08-01,The Rolling Stones,,22
2019-08-01,Kendrick Lamar,,20
2019-08-01,Arctic Monkeys,,11
2019-08-01,Nothing But Thieves,,9
2019-08-01,The Lumineers,,9
2019-08-01,Prateek Kuhad,,7
2019-08-01,Julian Casablancas,,4
2019-08-01,Kodaline,,3
2019-08-01,Franz Ferdinand,,2
2019-08-01,Pink Floyd,,2
2019-08-01,Tame Impala,,2
2019-08-01,Albert Hammond, Jr.,,1
2019-08-01,Bastille,,1
2019-08-01,George Ezra,,1
2019-08-01,Jason Mraz,,1
2019-08-01,Passenger,,1
2019-08-01,Pixies,,1
2019-08-01,Radiohead,,1
2019-08-01,Ray LaMontagne,,1
2019-08-01,The Dø,,1
2019-08-02,The Strokes,,46
2019-08-02,Arctic Monkeys,,24
2019-08-02,The Rolling Stones,,22
2019-08-02,Kendrick Lamar,,21
2019-08-02,Nothing But Thieves,,10
2019-08-02,The Lumineers,,10
2019-08-02,Prateek Kuhad,,7
2019-08-02,Julian Casablancas,,5
2019-08-02,Green Day,,4
2019-08-02,Radiohead,,4
2019-08-02,José González,,3
2019-08-02,Kodaline,,3
2019-08-02,Pink Floyd,,3
2019-08-02,Ray LaMontagne,,3
2019-08-02,Tame Impala,,3
2019-08-02,Albert Hammond, Jr.,,2
2019-08-02,Bastille,,2
2019-08-02,Franz Ferdinand,,2
2019-08-02,Hozier,,2
2019-08-02,The Neighbourhood,,2
2019-08-02,Ayo & Teo,,1
2019-08-02,George Ezra,,1
2019-08-02,Hans Zimmer,,1
2019-08-02,Ice Cube,,1
2019-08-02,Jason Mraz,,1
2019-08-02,Passenger,,1
2019-08-02,Pixies,,1
2019-08-02,Queen,,1
2019-08-02,The 1975,,1
2019-08-02,The Beatles,,1
2019-08-02,The Dø,,1
2019-08-02,The Ink Spots,,1
2019-08-02,The Velvet Underground,,1
2019-08-02,Young the Giant,,1
2019-08-03,The Strokes,,46
2019-08-03,The Rolling Stones,,31
2019-08-03,Kendrick Lamar,,30
2019-08-03,Arctic Monkeys,,26
2019-08-03,The Last Shadow Puppets,,23
2019-08-03,Tame Impala,,16
2019-08-03,Nothing But Thieves,,10
2019-08-03,The Lumineers,,10
2019-08-03,Prateek Kuhad,,7
2019-08-03,Julian Casablancas,,5
2019-08-03,Green Day,,4
2019-08-03,Radiohead,,4
2019-08-03,Albert Hammond, Jr.,,3
2019-08-03,Daft Punk,,3
2019-08-03,José González,,3
2019-08-03,Kodaline,,3
2019-08-03,Pink Floyd,,3
2019-08-03,Ray LaMontagne,,3
2019-08-03,Bastille,,2
2019-08-03,Franz Ferdinand,,2
2019-08-03,Hozier,,2
2019-08-03,Pixies,,2
2019-08-03,The Neighbourhood,,2
2019-08-03,The Velvet Underground,,2
2019-08-03,Apocalypse,,1
2019-08-03,Avicii,,1
2019-08-03,Ayo & Teo,,1
2019-08-03,George Ezra,,1
2019-08-03,Hans Zimmer,,1
2019-08-03,Ice Cube,,1
2019-08-03,Jason Mraz,,1
2019-08-03,Mumford & Sons,,1
2019-08-03,Ol' Dirty Bastard,,1
2019-08-03,Passenger,,1
2019-08-03,Queen,,1
2019-08-03,Robbie Robb,,1
2019-08-03,The 1975,,1
2019-08-03,The Beatles,,1
2019-08-03,The Dø,,1
2019-08-03,The Ink Spots,,1
2019-08-03,Young the Giant,,1
2019-08-04,The Strokes,,46
2019-08-04,The Rolling Stones,,38
2019-08-04,Kendrick Lamar,,30
2019-08-04,Arctic Monkeys,,26
2019-08-04,The Last Shadow Puppets,,23
2019-08-04,Tame Impala,,19
2019-08-04,Nothing But Thieves,,10
2019-08-04,Red Hot Chili Peppers,,10
2019-08-04,The Lumineers,,10
2019-08-04,Prateek Kuhad,,7
2019-08-04,Green Day,,5
2019-08-04,Julian Casablancas,,5
2019-08-04,Radiohead,,4
2019-08-04,The Neighbourhood,,4
2019-08-04,Albert Hammond, Jr.,,3
2019-08-04,Daft Punk,,3
2019-08-04,José González,,3
2019-08-04,Kodaline,,3
2019-08-04,Pink Floyd,,3
2019-08-04,Ray LaMontagne,,3
2019-08-04,Bastille,,2
2019-08-04,Franz Ferdinand,,2
2019-08-04,Guns N' Roses,,2
2019-08-04,Hozier,,2
2019-08-04,Pixies,,2
2019-08-04,Sublime,,2
2019-08-04,The 1975,,2
2019-08-04,The Velvet Underground,,2
2019-08-04,Anna Rouse,,1
2019-08-04,Apocalypse,,1
2019-08-04,Avicii,,1
2019-08-04,Avril Lavigne,,1
2019-08-04,Ayo & Teo,,1
2019-08-04,Cage the Elephant,,1
2019-08-04,Foo Fighters,,1
2019-08-04,George Ezra,,1
2019-08-04,Hans Zimmer,,1
2019-08-04,Ice Cube,,1
2019-08-04,Jason Mraz,,1
2019-08-04,Joji,,1
2019-08-04,Lorde,,1
2019-08-04,MGMT,,1
2019-08-04,Modest Mouse,,1
2019-08-04,Mumford & Sons,,1
2019-08-04,Nickelback,,1
2019-08-04,Ol' Dirty Bastard,,1
2019-08-04,Passenger,,1
2019-08-04,Queen,,1
2019-08-04,R.E.M.,,1
2019-08-04,Robbie Robb,,1
2019-08-05,The Strokes,,65
2019-08-05,The Rolling Stones,,38
2019-08-05,Kendrick Lamar,,30
2019-08-05,Arctic Monkeys,,28
2019-08-05,The Last Shadow Puppets,,23
2019-08-05,The Lumineers,,20
2019-08-05,Tame Impala,,19
2019-08-05,Kodaline,,14
2019-08-05,Red Hot Chili Peppers,,14
2019-08-05,Nothing But Thieves,,10
2019-08-05,Sublime,,8
2019-08-05,Green Day,,7
2019-08-05,Prateek Kuhad,,7
2019-08-05,The Neighbourhood,,7
2019-08-05,Julian Casablancas,,6
2019-08-05,Radiohead,,5
2019-08-05,Albert Hammond, Jr.,,4
2019-08-05,Foo Fighters,,4
2019-08-05,Daft Punk,,3
2019-08-05,Guns N' Roses,,3
2019-08-05,Hozier,,3
2019-08-05,José González,,3
2019-08-05,Pink Floyd,,3
2019-08-05,Ray LaMontagne,,3
